yearID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,PO,A,E,class
2014.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2015.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2011.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2006.0,8.0,7.0,6.0,5.0,4.0,1.0,5.0,6.0,1.0,3.0,5.0,1.0,5.0,4.0,true
2015.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,false
2001.0,8.0,7.0,6.0,5.0,5.0,3.0,4.0,6.0,3.0,4.0,4.0,6.0,2.0,3.0,true
2008.0,7.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,true
2015.0,8.0,7.0,5.0,5.0,3.0,1.0,5.0,5.0,1.0,2.0,3.0,4.0,1.0,2.0,true
2006.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2014.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2015.0,7.0,6.0,3.0,5.0,4.0,1.0,3.0,4.0,1.0,1.0,3.0,5.0,2.0,1.0,true
2002.0,6.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,false
2003.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2015.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2014.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,false
2015.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2015.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2013.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2014.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2015.0,5.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,false
2007.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2014.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2011.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,true
2008.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2014.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2015.0,8.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,6.0,3.0,true
2015.0,8.0,8.0,6.0,5.0,6.0,2.0,4.0,4.0,2.0,3.0,6.0,2.0,7.0,2.0,true
2005.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2005.0,6.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2012.0,8.0,7.0,5.0,5.0,5.0,2.0,4.0,5.0,1.0,3.0,6.0,2.0,1.0,2.0,true
2010.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2002.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,false
2012.0,8.0,7.0,6.0,6.0,4.0,4.0,1.0,3.0,5.0,3.0,6.0,2.0,1.0,1.0,true
2007.0,8.0,8.0,7.0,6.0,6.0,3.0,3.0,5.0,2.0,2.0,4.0,2.0,1.0,2.0,true
2004.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,false
2015.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,false
2008.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2015.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2009.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2014.0,8.0,7.0,5.0,6.0,6.0,2.0,2.0,4.0,1.0,4.0,6.0,7.0,2.0,2.0,true
2015.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,true
2015.0,6.0,5.0,4.0,5.0,4.0,1.0,2.0,4.0,1.0,3.0,3.0,5.0,2.0,1.0,true
2013.0,8.0,8.0,5.0,6.0,6.0,1.0,1.0,5.0,2.0,3.0,3.0,2.0,7.0,2.0,true
2008.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2015.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2010.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2015.0,8.0,7.0,5.0,5.0,4.0,2.0,2.0,4.0,3.0,3.0,5.0,2.0,1.0,1.0,true
2014.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2008.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2014.0,8.0,7.0,5.0,6.0,5.0,1.0,2.0,4.0,3.0,1.0,3.0,1.0,7.0,4.0,true
2009.0,8.0,7.0,6.0,5.0,4.0,1.0,4.0,5.0,3.0,4.0,6.0,2.0,1.0,2.0,true
2006.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,true
2006.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2008.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2015.0,7.0,6.0,5.0,4.0,5.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,false
2000.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2009.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2010.0,7.0,7.0,6.0,6.0,6.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,6.0,3.0,true
2009.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,true
2004.0,8.0,7.0,6.0,6.0,5.0,1.0,4.0,6.0,1.0,4.0,4.0,2.0,1.0,2.0,true
2014.0,8.0,6.0,4.0,4.0,4.0,1.0,3.0,5.0,1.0,3.0,6.0,4.0,1.0,3.0,true
2012.0,8.0,7.0,4.0,5.0,3.0,2.0,4.0,5.0,1.0,2.0,6.0,2.0,1.0,2.0,true
2008.0,8.0,7.0,6.0,6.0,5.0,1.0,5.0,7.0,1.0,4.0,5.0,1.0,1.0,1.0,true
2011.0,5.0,5.0,4.0,4.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,3.0,2.0,true
2003.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,false
2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2007.0,8.0,7.0,7.0,7.0,8.0,1.0,4.0,7.0,1.0,3.0,3.0,2.0,1.0,1.0,true
2000.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2002.0,8.0,7.0,6.0,5.0,5.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,6.0,4.0,true
2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2015.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2011.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2012.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2013.0,8.0,7.0,5.0,6.0,6.0,2.0,2.0,5.0,1.0,1.0,5.0,2.0,1.0,1.0,true
2013.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2005.0,5.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,false
2007.0,8.0,8.0,5.0,6.0,6.0,1.0,4.0,6.0,2.0,2.0,3.0,2.0,1.0,1.0,true
2002.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
2015.0,8.0,7.0,6.0,5.0,4.0,2.0,5.0,6.0,1.0,4.0,4.0,2.0,1.0,1.0,true
2015.0,7.0,6.0,2.0,5.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,6.0,1.0,2.0,true
2014.0,7.0,6.0,3.0,5.0,4.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,true
2011.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
2002.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,false
